,date,close,open,high,low,volume,keyword
423,2019-09-27,6180.0,6030.0,6230.0,5990.0,235676.0,신풍제약
422,2019-09-30,6230.0,6290.0,6300.0,6100.0,300972.0,신풍제약
421,2019-10-01,6410.0,6180.0,6500.0,6150.0,615435.0,신풍제약
418,2019-10-02,6210.0,6350.0,6350.0,6200.0,279122.0,신풍제약
417,2019-10-04,6080.0,6180.0,6240.0,6080.0,131742.0,신풍제약
416,2019-10-07,6260.0,6080.0,6260.0,6010.0,150630.0,신풍제약
415,2019-10-08,6130.0,6290.0,6290.0,6110.0,149068.0,신풍제약
414,2019-10-10,6120.0,6110.0,6180.0,6080.0,89124.0,신풍제약
410,2019-10-11,6210.0,6130.0,6230.0,6110.0,90343.0,신풍제약
409,2019-10-14,6190.0,6190.0,6260.0,6170.0,110664.0,신풍제약
408,2019-10-15,6340.0,6170.0,6560.0,6170.0,572321.0,신풍제약
407,2019-10-16,6360.0,6340.0,6390.0,6270.0,207350.0,신풍제약
406,2019-10-17,6250.0,6370.0,6430.0,6230.0,141409.0,신풍제약
403,2019-10-18,6200.0,6230.0,6290.0,6190.0,83837.0,신풍제약
402,2019-10-21,6120.0,6200.0,6270.0,6100.0,105660.0,신풍제약
401,2019-10-22,6080.0,6200.0,6230.0,6080.0,199672.0,신풍제약
400,2019-10-23,6480.0,6150.0,6960.0,6100.0,3154438.0,신풍제약
399,2019-10-24,6190.0,6500.0,6570.0,6170.0,613984.0,신풍제약
395,2019-10-25,6140.0,6190.0,6250.0,6120.0,363497.0,신풍제약
394,2019-10-28,6430.0,6230.0,6600.0,6190.0,932363.0,신풍제약
393,2019-10-29,6490.0,6460.0,6650.0,6380.0,669413.0,신풍제약
392,2019-10-30,6410.0,6530.0,6530.0,6390.0,232689.0,신풍제약
391,2019-10-31,6580.0,6510.0,6680.0,6410.0,506368.0,신풍제약
388,2019-11-01,6760.0,6600.0,6900.0,6540.0,799588.0,신풍제약
387,2019-11-04,7170.0,6880.0,7730.0,6690.0,6669599.0,신풍제약
386,2019-11-05,8050.0,7200.0,8050.0,6980.0,6533414.0,신풍제약
385,2019-11-06,7610.0,7950.0,8220.0,7540.0,5316376.0,신풍제약
384,2019-11-07,7330.0,7660.0,7690.0,7170.0,1682156.0,신풍제약
380,2019-11-08,7030.0,7350.0,7430.0,6990.0,1200843.0,신풍제약
379,2019-11-11,7150.0,7000.0,7150.0,6860.0,986587.0,신풍제약
378,2019-11-12,6950.0,7140.0,7160.0,6950.0,645697.0,신풍제약
377,2019-11-13,7210.0,7030.0,7220.0,6740.0,2886674.0,신풍제약
376,2019-11-14,6960.0,7670.0,7750.0,6960.0,4216332.0,신풍제약
373,2019-11-15,6970.0,6970.0,7150.0,6910.0,761335.0,신풍제약
372,2019-11-18,6980.0,7080.0,7190.0,6980.0,769934.0,신풍제약
371,2019-11-19,6700.0,6910.0,6940.0,6660.0,706489.0,신풍제약
370,2019-11-20,6570.0,6650.0,6930.0,6550.0,800106.0,신풍제약
369,2019-11-21,6440.0,6600.0,6670.0,6390.0,431718.0,신풍제약
365,2019-11-22,6430.0,6440.0,6670.0,6410.0,409510.0,신풍제약
364,2019-11-25,6570.0,6460.0,6600.0,6460.0,270295.0,신풍제약
363,2019-11-26,6640.0,6640.0,6690.0,6590.0,276170.0,신풍제약
362,2019-11-27,6690.0,6660.0,7070.0,6540.0,1297722.0,신풍제약
361,2019-11-28,6780.0,6690.0,6900.0,6570.0,913451.0,신풍제약
358,2019-11-29,6600.0,6780.0,6820.0,6590.0,639053.0,신풍제약
357,2019-12-02,6540.0,6610.0,6670.0,6520.0,234198.0,신풍제약
356,2019-12-03,6660.0,6460.0,6690.0,6460.0,284992.0,신풍제약
355,2019-12-04,6660.0,6600.0,6800.0,6590.0,391957.0,신풍제약
354,2019-12-05,6650.0,6800.0,6940.0,6630.0,846181.0,신풍제약
350,2019-12-06,6960.0,6620.0,7040.0,6620.0,1261923.0,신풍제약
