,title
245,"삼성전자 차세대 모바일 AP, 中서 공개한다"
246,마주 앉은 삼성전자 노사
247,"승현준 삼성리서치 소장 ""인간 중심 AI, 삼성전자 비전과 일맥상통"""
248,삼성전자 노사 오늘 상견례…첫 단체교섭 시작
249,"“인간중심 AI, ‘삶의 편리’ 삼성 비전과 일맥상통”"
250,"삼성전자, 제 4회 '삼성 AI 포럼 2020' 개최…삶에 도움 주는 AI 기술"
251,"박병석 ""이병철 한국의 삼성, 이건희 세계의 삼성 키워"""
252,“이건희 도전·열정 이어받자”…이재용 ‘뉴삼성’ 속도
253,"세바스찬 승 ""삼성전자, 인간 중심 AI 추구"""
254,'삼성 불법파견 은폐' 정현옥 전 차관 2심도 무죄
255,"삼성전자, '인간 중심의 AI 연구' 강조-'삼성AI포럼 2020' 2일차 온라인 진행"
256,"삼성전자, 창립 51주년 기념식"
257,"삼성전자, 제4회 '삼성 AI 포럼 2020' 개최"
258,"삼성 오디세이 G7, 美 유명 IT 매체 '탐스 하드웨어'에서 완벽한 게이밍 모니..."
259,"삼성 오디세이 G7, 미국 유명 IT 매체서 호평..."" 완벽한 게이밍 모니터"""
260,"삼성 오디세이 G7, 美 유명 IT 매체 '탐스 하드웨어'에서 완벽한 게이밍 모니..."
261,"삼성전자, '삼성 AI 포럼 2020' 온라인 개최...세계 석학들과 실시간 교류"
262,"박병석 “삼성전자, 韓-베트남 경협 상징···표준 돼 달라”"
263,"삼성 오디세이 G7, 미국 유명 IT 매체서 호평..."" 완벽한 게이밍 모니터"""
264,"삼성전자 노사 상견례…""새로운 노사관계"", ""역사적 현장 돼야"""
265,[포토] 삼성전자 창립 51주년 기념식
266,'온라인 삼성고시' 종료…난이도는?
267,첫 단체교섭 하는 삼성전자 노사
268,"일본 제치고 세계 1위로, '미스터 LCD’ 이상완 전 삼성전자 사장 별세"
269,삼성전자 창립 51주년…“이건희 DNA 이어받아 창조기업 진화하자”
270,'온라인 삼성고시' 종료…난이도는?
271,첫 단체교섭 하는 삼성전자 노사
272,"삼성 게이밍 모니터 '오디세이 G7', 美 IT 전문지서 최초 만점"
273,"일본 제치고 세계 1위로, '미스터 LCD’ 이상완 전 삼성전자 사장 별세"
274,삼성전자 창립 51주년…“이건희 DNA 이어받아 창조기업 진화하자”
275,삼성전자 창립 51주년 기념식…“회장님의 도전과 열정 이어받자”
276,"삼성리서치, '인간 중심의 AI'…삼성전자의 비전과 일맥상통"
277,"삼성전자, 창립 51주년 기념식 개최"
278,인사하는 최완우 삼성전자 DS부문 인사기획그룹장
279,'삼성전자 단체교섭 상견례를 위해'
280,'삼성전자 단체교섭 상견례를 위해'
281,"삼성전자, '더 나은 세상을 만들기 위한 인간 중심의 AI 연구' 강조"
282,삼성전자 노사 상견례
283,"삼성 첫 AI 연구자상, 35세 조경현 뉴욕대 종신교수 등 5명이 받았다"
284,"美 유명 IT매체, ""삼성 오디세이 G7, 완벽한 게이밍 모니터"" 호평"
285,삼성전자 몰려든 개미들…이번에도 통할까
286,인사하는 나기홍 삼성전자 경영지원실 인사팀장
287,박수치는 삼성전자 측
288,"삼성, 창립 51주년 기념식 날 소·부·장 기업에 740억 투자"
289,"삼성전자, 반도체 '소부장' 협력사 4곳에 740억여원 투자"
290,"삼성전자, 반도체 '소부장' 협력사 4곳에 740억여원 투자"
291,삼성전자 '마의 벽' 6만원
292,"삼성전자, 위험예지 경진대회 실시"
293,"삼성전자, 케이씨텍 등 4개 소부장 기업에 750억 지분 투자…소부장 생태계 강..."
294,삼성전자 노사 '첫 단체교섭에 앞서'
295,"세계적 석학 한자리에… 삼성전자, 'AI포럼 2020' 개최"
296,삼성전자 노사 상견례
